event_id,goal_id,goal_reward_idx,pick_rate,reward_item_count,reward_item_id,user_group_id
110001,11000101,1,100,1,62001,0
110001,11000101,2,100,1,131004,0
110001,11000101,3,100,1,21002,0
110001,11000101,4,100,1,22002,0
110001,11000101,5,100,1,23002,0
110001,11000102,6,100,2,62001,0
110001,11000102,7,100,2,131004,0
110001,11000102,8,100,2,21002,0
110001,11000102,9,100,2,22002,0
110001,11000102,10,100,2,23002,0
110001,11000103,11,100,3,62001,0
110001,11000103,12,100,1,111001,0
110001,11000103,13,100,1,21003,0
110001,11000103,14,100,1,22003,0
110001,11000103,15,100,1,23003,0
110001,11000104,16,100,5,62001,0
110001,11000104,17,100,1,112001,0
110001,11000104,18,100,2,21003,0
110001,11000104,19,100,2,22003,0
110001,11000104,20,100,2,23003,0
110001,11000105,21,100,1,62001,0
110001,11000105,22,100,1,131004,0
110001,11000105,23,100,2,32002,0
110001,11000105,24,100,2,33002,0
110001,11000105,25,100,2,34002,0
110001,11000106,26,100,3,62001,0
110001,11000106,27,100,1,111001,0
110001,11000106,28,100,5,32002,0
110001,11000106,29,100,5,33002,0
110001,11000106,30,100,5,34002,0
110001,11000107,31,100,5,62001,0
110001,11000107,32,100,1,112001,0
110001,11000107,33,100,1,32003,0
110001,11000107,34,100,1,33003,0
110001,11000107,35,100,1,34003,0
110002,11000201,36,100,1,62001,0
110002,11000201,37,100,1,131004,0
110002,11000201,38,100,2,32002,0
110002,11000201,39,100,2,33002,0
110002,11000201,40,100,2,34002,0
110002,11000202,41,100,3,62001,0
110002,11000202,42,100,1,111001,0
110002,11000202,43,100,5,32002,0
110002,11000202,44,100,5,33002,0
110002,11000202,45,100,5,34002,0
110002,11000203,46,100,5,62001,0
110002,11000203,47,100,1,112001,0
110002,11000203,48,100,1,32003,0
110002,11000203,49,100,1,33003,0
110002,11000203,50,100,1,34003,0
110002,11000204,51,100,1,62001,0
110002,11000204,52,100,1,131004,0
110002,11000204,53,100,1,21002,0
110002,11000204,54,100,1,22002,0
110002,11000204,55,100,1,23002,0
110002,11000205,56,100,3,62001,0
110002,11000205,57,100,1,111001,0
110002,11000205,58,100,2,21002,0
110002,11000205,59,100,2,22002,0
110002,11000205,60,100,2,23002,0
110002,11000206,61,100,5,62001,0
110002,11000206,62,100,1,112001,0
110002,11000206,63,100,1,21003,0
110002,11000206,64,100,1,22003,0
110002,11000206,65,100,1,23003,0
110003,11000301,66,100,1,62001,0
110003,11000301,67,100,1,131004,0
110003,11000301,68,100,2,32002,0
110003,11000301,69,100,2,33002,0
110003,11000301,70,100,2,34002,0
110003,11000302,71,100,3,62001,0
110003,11000302,72,100,1,111001,0
110003,11000302,73,100,5,32002,0
110003,11000302,74,100,5,33002,0
110003,11000302,75,100,5,34002,0
110003,11000303,76,100,5,62001,0
110003,11000303,77,100,1,112001,0
110003,11000303,78,100,1,32003,0
110003,11000303,79,100,1,33003,0
110003,11000303,80,100,1,34003,0
110003,11000304,81,100,1,62001,0
110003,11000304,82,100,1,131004,0
110003,11000304,83,100,1,21002,0
110003,11000304,84,100,1,22002,0
110003,11000304,85,100,1,23002,0
110003,11000305,86,100,3,62001,0
110003,11000305,87,100,1,111001,0
110003,11000305,88,100,2,21002,0
110003,11000305,89,100,2,22002,0
110003,11000305,90,100,2,23002,0
110003,11000306,91,100,5,62001,0
110003,11000306,92,100,1,112001,0
110003,11000306,93,100,1,21003,0
110003,11000306,94,100,1,22003,0
110003,11000306,95,100,1,23003,0
110004,11000401,96,100,1,62001,0
110004,11000401,97,100,1,131004,0
110004,11000401,98,100,1,21002,0
110004,11000401,99,100,1,22002,0
110004,11000401,100,100,1,23002,0
110004,11000402,101,100,3,62001,0
110004,11000402,102,100,1,111001,0
110004,11000402,103,100,2,21002,0
110004,11000402,104,100,2,22002,0
110004,11000402,105,100,2,23002,0
110004,11000403,106,100,5,62001,0
110004,11000403,107,100,1,112001,0
110004,11000403,108,100,1,21003,0
110004,11000403,109,100,1,22003,0
110004,11000403,110,100,1,23003,0
110004,11000404,111,100,1,62001,0
110004,11000404,112,100,1,131004,0
110004,11000404,113,100,2,32002,0
110004,11000404,114,100,2,33002,0
110004,11000404,115,100,2,34002,0
110004,11000405,116,100,3,62001,0
110004,11000405,117,100,1,111001,0
110004,11000405,118,100,5,32002,0
110004,11000405,119,100,5,33002,0
110004,11000405,120,100,5,34002,0
110004,11000406,121,100,5,62001,0
110004,11000406,122,100,1,112001,0
110004,11000406,123,100,1,32003,0
110004,11000406,124,100,1,33003,0
110004,11000406,125,100,1,34003,0
110005,11000501,126,100,1,62001,1101
110005,11000501,127,100,1,111001,1101
110005,11000501,128,100,2,32002,1101
110005,11000501,129,100,2,33002,1101
110005,11000501,130,100,2,34002,1101
110005,11000502,131,100,2,62001,1101
110005,11000502,132,100,2,111001,1101
110005,11000502,133,100,5,32002,1101
110005,11000502,134,100,5,33002,1101
110005,11000502,135,100,5,34002,1101
110005,11000503,136,100,3,62001,1101
110005,11000503,137,100,3,111001,1101
110005,11000503,138,100,10,32002,1101
110005,11000503,139,100,10,33002,1101
110005,11000503,140,100,10,34002,1101
110005,11000504,141,100,5,62001,1101
110005,11000504,142,100,1,112001,1101
110005,11000504,143,100,15,32002,1101
110005,11000504,144,100,15,33002,1101
110005,11000504,145,100,15,34002,1101
110005,11000505,146,100,100,11005,1101
110005,11000505,147,100,7,62001,1101
110005,11000505,148,100,2,112001,1101
110005,11000505,149,100,2,32003,1101
110005,11000505,150,100,2,33003,1101
110005,11000505,151,100,2,34003,1101
110005,11000506,152,100,200,11005,1101
110005,11000506,153,100,10,62001,1101
110005,11000506,154,100,3,112001,1101
110005,11000506,155,100,3,32003,1101
110005,11000506,156,100,3,33003,1101
110005,11000506,157,100,3,34003,1101
110005,11000507,158,100,1,62001,1102
110005,11000507,159,100,1,111001,1102
110005,11000507,160,100,2,32002,1102
110005,11000507,161,100,2,33002,1102
110005,11000507,162,100,2,34002,1102
110005,11000508,163,100,2,62001,1102
110005,11000508,164,100,2,111001,1102
110005,11000508,165,100,5,32002,1102
110005,11000508,166,100,5,33002,1102
110005,11000508,167,100,5,34002,1102
110005,11000509,168,100,3,62001,1102
110005,11000509,169,100,3,111001,1102
110005,11000509,170,100,10,32002,1102
110005,11000509,171,100,10,33002,1102
110005,11000509,172,100,10,34002,1102
110005,11000510,173,100,5,62001,1102
110005,11000510,174,100,1,112001,1102
110005,11000510,175,100,15,32002,1102
110005,11000510,176,100,15,33002,1102
110005,11000510,177,100,15,34002,1102
110005,11000511,178,100,100,11005,1102
110005,11000511,179,100,7,62001,1102
110005,11000511,180,100,2,112001,1102
110005,11000511,181,100,2,32003,1102
110005,11000511,182,100,2,33003,1102
110005,11000511,183,100,2,34003,1102
110005,11000512,184,100,200,11005,1102
110005,11000512,185,100,10,62001,1102
110005,11000512,186,100,3,112001,1102
110005,11000512,187,100,3,32003,1102
110005,11000512,188,100,3,33003,1102
110005,11000512,189,100,3,34003,1102
110005,11000513,190,100,1,62001,1103
110005,11000513,191,100,1,111001,1103
110005,11000513,192,100,2,32002,1103
110005,11000513,193,100,2,33002,1103
110005,11000513,194,100,2,34002,1103
110005,11000514,195,100,2,62001,1103
110005,11000514,196,100,2,111001,1103
110005,11000514,197,100,5,32002,1103
110005,11000514,198,100,5,33002,1103
110005,11000514,199,100,5,34002,1103
110005,11000515,200,100,3,62001,1103
110005,11000515,201,100,3,111001,1103
110005,11000515,202,100,10,32002,1103
110005,11000515,203,100,10,33002,1103
110005,11000515,204,100,10,34002,1103
110005,11000516,205,100,5,62001,1103
110005,11000516,206,100,1,112001,1103
